train_loss,val_loss,train_f1,val_f1,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_auc,val_auc
0.05601679818124051,0.055966957320512566,0.8466361224981914,0.8726318857475954,0.9518555667001003,0.9614059878124172,0.7369857262804366,0.7805005213764338,0.9946175637393768,0.9894249834765367,0.9852848436016947,0.9831772278715286
0.05581723999531185,0.057411557152126404,0.8511670203091846,0.8256931100741147,0.9535398648776519,0.9439194559745651,0.7440381558028617,0.7061032863849765,0.9943342776203966,0.9940515532055518,0.9853009676008324,0.97530774739886
0.05482440106675766,0.057244105765779124,0.8547455463002371,0.8301574150787076,0.9547888949868474,0.9456857723218228,0.7488015340364333,0.7129981024667932,0.9956090651558074,0.9933906146728354,0.9864346364973332,0.9775431142803821
0.05479592806677704,0.0556889430700464,0.8568818514007308,0.8697674418604651,0.9555269582331901,0.9604345138214254,0.7516025641025641,0.7763362740010379,0.9964589235127479,0.9887640449438202,0.9860054114016025,0.9835479867650596
0.054193274795634565,0.05733749587728732,0.8642703533026114,0.8289727347838061,0.9581953407391988,0.9451558774176455,0.7632121540965816,0.710576015108593,0.9961756373937677,0.9947124917382684,0.9871671824345654,0.9775374885548489
0.05419026534664638,0.056211275363820166,0.8686681492463553,0.85026889329182,0.9597660907250052,0.9532809326150313,0.7702673093777388,0.7435643564356436,0.9958923512747876,0.992729676140119,0.9871628896112313,0.9806157373439703
0.054164583937129744,0.05918638265133957,0.8679175410443155,0.7891156462585034,0.9595011449442667,0.928817451205511,0.7690877269744039,0.6530965786054569,0.9958923512747876,0.9966953073364178,0.9869504807126773,0.9750438772904619
0.05432629476237869,0.05881486077739726,0.8671846096929338,0.8036286019210246,0.9592361991635283,0.9349995584209132,0.7678532430661716,0.6738255033557047,0.9960339943342776,0.9953734302709848,0.9874130707142325,0.9760290866853562
0.05444069154107533,0.055710161656370265,0.8650046168051708,0.8523566155593413,0.9584981359171855,0.9540757749712974,0.7649428415895482,0.7471378795420607,0.9951841359773371,0.9920687376074026,0.9870244472189406,0.9815732223549488
0.0540515789998843,0.059098280795858826,0.8690226121339429,0.7939936775553214,0.9598796389167502,0.9309370308222202,0.7706552706552706,0.6600963644327639,0.9961756373937677,0.9960343688037012,0.9871856655528324,0.9724795233696683
0.05428539698646726,0.05677967217465356,0.866514581663481,0.8308965517241379,0.9590280274786624,0.9458624039565486,0.7672234960148487,0.7130681818181818,0.9953257790368272,0.9953734302709848,0.9870537265945216,0.9790518193326878
0.0543220821314801,0.05541325240450824,0.869253140275973,0.857795545402627,0.9600121118071194,0.9560187229532809,0.7717833205142292,0.7551533433886375,0.9949008498583569,0.992729676140119,0.9870730512608589,0.9816303554717425
0.0541224553413354,0.05732044674325177,0.8664491102764608,0.823722328505056,0.9589523286841657,0.9430362978009361,0.7663653196819519,0.7022367194780987,0.996600566572238,0.9960343688037012,0.9872035128691573,0.9756434718339798
0.054376855778046344,0.056941315751175024,0.8643828033704409,0.8416035884496776,0.9582710395336954,0.9501015631899673,0.7638873790629416,0.7307692307692307,0.9953257790368272,0.9920687376074026,0.9865059623371351,0.9788065107498519
0.054187651585654785,0.05750030727885452,0.8671225281833302,0.8371572467823167,0.9591794250676557,0.9486001942947982,0.7672517169955304,0.7258612324114507,0.9968838526912182,0.9887640449438202,0.9868860172023564,0.9815723128065095
0.05418539225669651,0.05848375108521713,0.8693498452012384,0.8129554655870446,0.960068885902992,0.9387971385675175,0.7722772277227723,0.6870437956204379,0.9943342776203966,0.9953734302709848,0.9873587583775028,0.976514246560391
