Time_Point,Importance
686,4.994873e-07
687,5.967312e-07
688,6.0464447e-07
689,7.505636e-07
690,8.505191e-07
691,7.148275e-07
692,6.320085e-07
693,7.892313e-07
694,6.258844e-07
695,5.564208e-07
696,4.883666e-07
697,6.428303e-07
698,6.423409e-07
699,7.7196273e-07
700,7.833687e-07
701,6.965121e-07
702,7.734614e-07
703,1.0686044e-06
704,9.784479e-07
705,7.7593114e-07
706,6.37658e-07
707,6.372203e-07
708,7.552284e-07
709,9.2621076e-07
710,1.020226e-06
711,1.1122675e-06
712,8.6663766e-07
713,6.602401e-07
714,5.957125e-07
715,8.058337e-07
716,6.9964864e-07
717,6.0855723e-07
718,5.592511e-07
719,6.0191513e-07
720,6.29698e-07
721,5.753362e-07
722,7.102223e-07
723,8.827581e-07
724,8.582066e-07
725,6.069142e-07
726,5.254677e-07
727,4.4211538e-07
728,7.616698e-07
729,4.5740845e-07
730,4.6376772e-07
731,6.667424e-07
732,5.801152e-07
733,5.61383e-07
734,5.0621236e-07
735,5.0455725e-07
736,5.61843e-07
737,4.4970224e-07
738,4.026684e-07
739,5.471155e-07
740,6.50006e-07
741,4.656804e-07
742,5.253181e-07
743,7.8537505e-07
744,9.534384e-07
745,7.2522516e-07
746,5.9212226e-07
747,6.239991e-07
748,4.397376e-07
749,7.769868e-07
750,6.002675e-07
751,4.650088e-07
752,9.209449e-07
753,4.636583e-07
754,5.075515e-07
755,4.972334e-07
756,4.947407e-07
757,5.47657e-07
758,4.5700796e-07
759,5.082791e-07
760,6.089877e-07
761,4.5768888e-07
762,5.500656e-07
763,5.8524427e-07
764,5.1296394e-07
765,4.8605943e-07
766,5.2245076e-07
767,8.218411e-07
768,8.291866e-07
769,5.864848e-07
770,5.734493e-07
771,7.5363556e-07
772,9.19185e-07
773,1.18244e-06
774,9.766981e-07
775,6.095735e-07
776,5.3133306e-07
777,7.99629e-07
778,7.110346e-07
779,5.930312e-07
780,6.65396e-07
781,7.833795e-07
782,1.1690705e-06
783,9.1995923e-07
784,1.0733532e-06
785,9.940953e-07
786,8.298355e-07
787,8.587188e-07
788,7.193221e-07
789,8.913642e-07
790,6.906719e-07
791,7.770245e-07
792,8.414787e-07
793,8.9945945e-07
794,9.40089e-07
795,7.997618e-07
796,8.160793e-07
797,9.537065e-07
798,6.8063576e-07
799,9.750828e-07
800,1.085385e-06
